Date,Symbol,Spot,ATM,CE_IV,PE_IV,AVG_IV,CE_OI,PE_OI,IV_PERCENTILE,IV_REGIME
2025-12-31,BANKNIFTY,59581.0,59600,8.82,10.58,9.7,3292,4371,,NA
2026-01-01,BANKNIFTY,59711.0,59700,7.87,10.97,9.42,6774,10904,50.0,NORMAL_HIGH
2026-01-02,BANKNIFTY,60151.0,60200,7.97,11.14,9.55,5329,3619,50.0,NORMAL_HIGH
